PAIS,FECHA,ADQUIRIENTE,RUBRO,VENTAS_ADQ_SIM,VENTAS_RAPPI_SIM,CONC_SIM_VEN,FEE_ADQ_SIM,FEE_RAPPI_SIM,CONC_SIM_FEE,TAX_ADQ_SIM,TAX_RAPPI_SIM,CONC_SIM_TAX,TRX_ADQ_SIM,TRX_RAPPI_SIM,FALTANTES_SIM
Colombia,2021-12-15,Wompi,Ventas,251623808.0,251623808.00,1.0,3176223.9899999998,3176223.9899999998,1.0,0.0,603482.5580999999,0.0,8175,8175,0
Colombia,2021-12-16,Wompi,Ventas,197958541.0,197958541.00,1.0,2413179.285,2413179.285,1.0,0.0,458504.06415000005,0.0,5811,5811,0
Colombia,2021-12-17,Wompi,Ventas,221747889.0,221747889.00,1.0,2613945.03,2613945.03,1.0,0.0,496649.55569999997,0.0,6076,6076,0
Colombia,2021-12-18,Wompi,Ventas,227933664.0,227933664.00,1.0,2625755.445,2625755.445,1.0,0.0,498893.53455,0.0,5931,5931,0
Colombia,2021-12-19,Wompi,Ventas,231745587.0,231745587.00,1.0,2708494.695,2708494.695,1.0,0.0,514613.99205,0.0,6093,6093,0
Colombia,2021-12-20,Wompi,Ventas,227544562.0,227544562.00,1.0,2708454.075,2708454.075,1.0,0.0,514606.27425,0.0,6384,6384,0
Colombia,2021-12-21,Wompi,Ventas,203524146.0,203524146.00,1.0,2395080.33,2395080.33,1.0,0.0,455065.2627,0.0,5673,5673,0
Colombia,2021-12-22,Wompi,Ventas,155732234.0,155732234.00,1.0,1817635.59,1817635.59,1.0,0.0,345350.7621,0.0,4223,4223,0
Colombia,2021-12-23,Wompi,Ventas,208677416.0,208677416.00,1.0,2318001.735,2318001.735,1.0,0.0,440420.32964999997,0.0,5356,5356,0
Colombia,2021-12-24,Wompi,Ventas,203752936.0,203752936.00,1.0,2060394.42,2060394.42,1.0,0.0,391474.9398,0.0,4470,4470,0
Colombia,2021-12-25,Wompi,Ventas,202285292.0,202285292.00,1.0,2260496.01,2260496.01,1.0,0.0,429494.24189999996,0.0,4922,4922,0
Colombia,2021-12-26,Wompi,Ventas,202171499.0,202171499.00,1.0,2313884.55,2313884.55,1.0,0.0,439638.0645,0.0,5136,5136,0
Colombia,2021-12-27,Wompi,Ventas,153903718.0,153903718.00,1.0,1854187.365,1854187.365,1.0,0.0,352295.59935,0.0,4389,4389,0
Colombia,2021-12-28,Wompi,Ventas,173223878.0,173223878.00,1.0,2058674.025,2058674.025,1.0,0.0,391148.06474999996,0.0,4809,4809,0
Colombia,2021-12-29,Wompi,Ventas,180121226.0,180121226.00,1.0,2130826.8,2130826.8,1.0,0.0,404857.09199999995,0.0,4964,4964,0
Colombia,2021-12-30,Wompi,Ventas,185317571.0,185317571.00,1.0,2162568.63,2162568.63,1.0,0.0,410888.03969999996,0.0,4953,4953,0
Colombia,2021-12-31,Wompi,Ventas,182584575.0,182584575.00,1.0,1883105.91,1883105.91,1.0,0.0,357790.1229,0.0,4101,4101,0
Colombia,2022-01-01,Wompi,Ventas,174547674.0,174547674.00,1.0,2002782.75,2002782.75,1.0,0.0,380528.72250000003,0.0,4387,4387,0
Colombia,2022-01-02,Wompi,Ventas,205151011.0,205151011.00,1.0,2353627.8449999997,2353627.8449999997,1.0,0.0,447189.29055,0.0,5264,5264,0
Colombia,2022-01-03,Wompi,Ventas,157906961.0,157906961.00,1.0,1917186.99,1917186.99,1.0,0.0,364265.5281,0.0,4510,4510,0
Colombia,2022-01-04,Wompi,Ventas,165745891.0,165745891.00,1.0,1984436.415,1984436.415,1.0,0.0,377042.91885,0.0,4705,4705,0
Colombia,2022-01-05,Wompi,Ventas,168232673.0,168232673.00,1.0,2011132.29,2011132.29,1.0,0.0,382115.1351,0.0,4718,4718,0
Colombia,2022-01-06,Wompi,Ventas,170476057.0,170476057.00,1.0,2036170.185,2036170.185,1.0,0.0,386872.33515,0.0,4742,4742,0
Colombia,2022-01-07,Wompi,Ventas,193129123.0,193129123.00,1.0,2295618.225,2295618.225,1.0,0.0,436167.46275,0.0,5325,5325,0
Colombia,2022-01-08,Wompi,Ventas,204749160.0,204749160.00,1.0,2404026.93,2404026.93,1.0,0.0,456765.1167,0.0,5441,5441,0
Colombia,2022-01-09,Wompi,Ventas,209769525.0,209769525.00,1.0,2447650.905,2447650.905,1.0,0.0,465053.67195,0.0,5560,5560,0
Colombia,2022-01-10,Wompi,Ventas,204902948.0,204902948.00,1.0,2431092.45,2431092.45,1.0,0.0,461907.5655,0.0,5617,5617,0
Colombia,2022-01-11,Wompi,Ventas,149118886.0,149118886.00,1.0,1784311.74,1784311.74,1.0,0.0,339019.2306,0.0,4307,4307,0
Colombia,2022-01-12,Wompi,Ventas,156154803.0,156154803.00,1.0,1877716.005,1877716.005,1.0,0.0,356766.04095,0.0,4577,4577,0
Colombia,2022-01-13,Wompi,Ventas,154952094.0,154952094.00,1.0,1912451.445,1912451.445,1.0,0.0,363365.77455000003,0.0,4672,4672,0
Colombia,2022-01-14,Wompi,Ventas,201423320.0,201423320.00,1.0,2384284.95,2384284.95,1.0,0.0,453014.14050000004,0.0,5573,5573,0
Colombia,2022-01-15,Wompi,Ventas,237279614.0,237279614.00,1.0,2804074.635,2804074.635,1.0,0.0,532774.18065,0.0,6428,6428,0
Colombia,2022-01-16,Wompi,Ventas,219657586.0,219657586.00,1.0,2610009.6,2610009.6,1.0,0.0,495901.824,0.0,5962,5962,0
Colombia,2022-01-17,Wompi,Ventas,121037236.0,121037236.00,1.0,1472554.905,1472554.905,1.0,0.0,279785.43195,0.0,3594,3594,0
Colombia,2022-01-18,Wompi,Ventas,139507179.0,139507179.00,1.0,1702451.355,1702451.355,1.0,0.0,323465.75745,0.0,4159,4159,0
Colombia,2022-01-19,Wompi,Ventas,152218798.0,152218798.00,1.0,1860233.205,1860233.205,1.0,0.0,353444.30895000004,0.0,4565,4565,0
Colombia,2022-01-20,Wompi,Ventas,156008614.0,156008614.00,1.0,1916973.4949999999,1916973.4949999999,1.0,0.0,364224.96405,0.0,4694,4694,0
Colombia,2022-01-21,Wompi,Ventas,197040360.0,197040360.00,1.0,2360533.785,2360533.785,1.0,0.0,448501.41915000003,0.0,5653,5653,0
Colombia,2022-01-22,Wompi,Ventas,216579690.0,216579690.00,1.0,2581406.775,2581406.775,1.0,0.0,490467.28725,0.0,5995,5995,0
Colombia,2022-01-23,Wompi,Ventas,156358487.0,156358487.00,1.0,1875211.74,1875211.74,1.0,0.0,356290.2306,0.0,4394,4394,0
Colombia,2022-01-24,Wompi,Ventas,135794458.0,135794458.00,1.0,1681003.2,1681003.2,1.0,0.0,319390.608,0.0,4045,4045,0
Colombia,2022-01-25,Wompi,Ventas,145506463.0,145506463.00,1.0,1755941.01,1755941.01,1.0,0.0,333628.7919,0.0,4207,4207,0
Colombia,2022-01-26,Wompi,Ventas,155465848.0,155465848.00,1.0,1889919.99,1889919.99,1.0,0.0,359084.7981,0.0,4531,4531,0
Colombia,2022-01-27,Wompi,Ventas,161099737.0,161099737.00,1.0,1948025.295,1948025.295,1.0,0.0,370124.80605,0.0,4622,4622,0
Colombia,2022-01-28,Wompi,Ventas,233054910.0,233054910.00,1.0,2697838.725,2697838.725,1.0,0.0,512589.35775,0.0,6080,6080,0
Colombia,2022-01-29,Wompi,Ventas,66797800.0,186187523.00,0.3587662530963474,784490.88,784490.88,1.0,0.0,149053.2672,0.0,1811,4880,-3069
Colombia,2022-01-30,Wompi,Ventas,,237969877.00,,,,,,,,0,6349,-6349
Colombia,2022-01-31,Wompi,Ventas,,140446288.00,,,,,,,,0,4250,-4250
Colombia,2022-02-01,Wompi,Ventas,,169167682.00,,,,,,,,0,4795,-4795
Colombia,2022-02-02,Wompi,Ventas,,159150185.00,,,,,,,,0,4624,-4624
Colombia,2022-02-03,Wompi,Ventas,,159673829.00,,,,,,,,0,4687,-4687
Colombia,2022-02-04,Wompi,Ventas,,210717288.00,,,,,,,,0,5754,-5754
Colombia,2022-02-05,Wompi,Ventas,,79617067.00,,,,,,,,0,2168,-2168
